pt,en
windsor,Windsor
1386,1386
tratado-de-windsor,Treaty of Windsor
aliança-perpétua,perpetual alliance
inglaterra,England
embaixador-português,Portuguese ambassador
embaixador-inglês,English ambassador
corte-de-lisboa,Lisbon court
corte-de-windsor,Windsor court
carta-selada,sealed letter
braões,coats of arms
pergaminho,parchment
tinta-de-ferro,iron gall ink
selo-de-cera,wax seal
diplomacia,diplomacy
cerimónia,ceremony
grande-salão,great hall
corredor-de-pedra,stone corridor
tocha,torch
pennant,pennant
estandarte-real,royal standard
intérprete-de-corte,court interpreter
tradutor,translator
língua-inglês,English language
língua-português,Portuguese language
page,page (servant)
aia,attendant (female)
beatriz,Beatriz
tom,Tom
canal-da-mancha,English Channel
dois-reinos,two kingdoms
mutua-defesa,mutual defence
amizade-antiga,ancient friendship
paz-por-tratado,peace by treaty
assinatura,signature
mão-no-pergaminho,hand on parchment
rei-de-portugal,King of Portugal
rei-de-inglaterra,King of England
joão-primeiro,João I
richard-segundo,Richard II
cavalo-de-volta,return horse
jornada-a-lisboa,journey to Lisbon
carta-de-retorno,return letter
cópia-autenticada,authenticated copy
testemunha-de-corte,court witness
criado,servant
moço-de-corte,court page
copo-de-vinho,cup of wine
pão-de-corte,court bread
manhã-fria,cold morning
névoa-no-tames,Thames mist
castelo-de-windsor,Windsor Castle
muralha-alta,high wall
crenelado,crenellated
bandeira-bilateral,bilateral flag
promessa-de-paz,promise of peace
promessa-de-ajuda,promise of aid
guerra-evitada,war avoided
aliança-militar,military alliance
aliança-comercial,commercial alliance
comércio-marítimo,maritime trade
porto-de-londres,Port of London
navio-de-embaixada,embassy ship
viagem-marítima,sea voyage
vento-do-oeste,west wind
sol-posto,setting sun
acordo-internacional,international agreement
documento-histórico,historic document
palavra-pesada,weighty word
tradução-cuidadosa,careful translation
sala-de-audiência,audience chamber
tapete-vermelho,red carpet
mesa-longa,long table
cadeira-de-honra,chair of honour
saudação-formal,formal greeting
aperto-de-mão,handshake
respeito-mútuo,mutual respect
honra-real,royal honour
legado-diplomático,diplomatic legacy
aliança-mais-antiga,oldest alliance
séculos-de-paz,centuries of peace
amizade-duradoura,lasting friendship
mãos-dadas,hand in hand
ponte-entre-reinos,bridge between kingdoms
cartas-trocadas,exchanged letters
mensageiro,messenger
cavaleiro-embaixador,knight ambassador
escolta,escort
portão-do-castelo,castle gate
adeus-formal,formal farewell
memória-de-windsor,memory of Windsor
dia-de-maio,May day
nono-de-maio,9 May
aliança-viva,living alliance
tratado-assinado,signed treaty
paz-pesada,heavy peace (weighty)
inglaterra-e-portugal,England and Portugal
windsor-1386,Windsor 1386
beatriz-e-tom,Beatriz and Tom
gaivota-no-crenelado,Gaivota on crenellation
